章	类型	起段	止段	字数	触发	标题建议	章内H2	预览
006	议论	116	188	180	贾生〗推言之也！曰	太史公曰	太史公曰	曰：之先，尝有勋於之际，受土赐姓。及之间微散。至之衰，兴，邑于。自以来，稍蚕食，
007	书信	47.1	47.1	176	遗〖@章邯〗书曰	章邯降楚	章邯降楚	为，南，北，城略地，不可胜计，而竟赐死。为，北人，开地，竟。何者？功多，不能尽封
010	诏令	41.2	41.2	336	诏曰	遗诏与崩	遗诏与崩	朕闻盖万物之萌生，靡不有死。死者之理，物之者，奚可甚哀。当今之时，世咸嘉生而恶死
028	诏令	46	46	140	制曰	汉初祭祀沿革	汉初祭祀沿革	朕即位于今，赖之灵，之福，方内艾安，民人靡疾。间者比年登，朕之不德，何以飨此？皆
028	诏令	72	78	1353	制诏〖;御史〗：“昔〖@	武帝祠太一与封禅准备	武帝祠太一与封禅准备	是时上方忧决，而不就，乃拜为。居，得四印，佩、、印。制诏：“昔疏，决。间者溢皋陆
028	诏令	87	93	625	制诏〖;御史〗：“朕以眇	武帝封禅泰山	武帝封禅泰山	从禅还，坐，群臣更上寿。於是制诏：“朕以眇眇之身承至尊，兢兢焉惧不任。维德菲薄，
038	策论	9	15	548	对曰	箕子陈洪范九畴	箕子陈洪范九畴	对曰：“在昔堙鸿水，汨陈其，乃震怒，不从，常伦所斁。则死，乃嗣兴。乃锡，常伦所序
040	策论	49	55	1142	对曰	叔向论子比不能立	叔向论子比不能立	初，自归，问曰：“其济乎？”对曰：“不就。”曰：“同恶相求，如市贾焉，何为不就？
040	书信	83	83	166	与〖◆秦〗合，乃使使遗〖;楚王〗书曰	齐书说楚从	齐书说楚从	寡人患之不察於尊名也。今死，立，走，、用，而事。夫善乎，而善乎；必事，、恐，必因
040	策论	92	92	479	对曰	楚臣以弋喻霸业	楚臣以弋喻霸业	之好射鶀雁，罗鸗，小矢之发也，何足为大也。且称之大，因大王之贤，所弋非直此也。昔
040	策论	93	93	289	对曰	楚谋图周被阻	楚谋图周被阻	军不五不，城不十不。夫一为二十，公之所知也。尝以二辱於之城下，死，伤，而不。公之
043	檄文	36	39	324	H2:霍太山神谕	霍太山神谕	霍太山神谕	从，後，至於，见，自带以上可见，自带以下不可见。与二节，莫通。曰：“为我以是遗。
