词典条目: 7343
源表已收: 350（跳过 146）
新候选（4字+）: 194
新候选（3字）: 0

============================================================
=== 4字及以上新候选（194 条）===
============================================================
[055] 一举千里  | ctx: ...：  ::: 歌 “鸿鹄高飞，一举千里。 羽翮已就，横绝四海。 横绝...
[007] 一以当十  | ctx: ...秦，诸将皆从壁上观。楚战士无不一以当十，楚兵呼声动天，诸侯军无不人人...
[039] 一国三公  | ctx: ...之？” 退而歌曰：“狐裘蒙茸，一国三公，吾谁適从！” 卒就城。 及申...
[079] 一寒如此  | ctx: ...意哀之，留与坐饮食，曰：“范叔一寒如此哉！” 乃取其一綈袍以赐之。须...
[120] 一死一生  | ctx: ...客欲往，翟公乃人署其门曰： “一死一生，乃知交情。一贫一富，乃知交态...
[022] 万古流芳  | ctx: ...夫、太尉，功勋卓著。后世为法，万古流芳。 :::  ## 表  | ...
[067] 不得其死  | ctx: ...过我，无所取材。” “若由也，不得其死然。” “衣敝缊袍与衣狐貉者立...
[042] 不毛之地  | ctx: ...，桓、武公，哀不忍绝其社稷，锡不毛之地，使复得改事君王，孤之原也，然...
[112] 不约而同  | ctx: ...棘矜，应时而皆动，不谋而俱起，不约而同会，壤长地进，至于霸王，时教使...
[044] 不远千里  | ctx: ...羞先君宗庙社稷，寡人甚丑之，叟不远千里，辱幸至弊邑之廷，将何利吾国？...
[130] 世异时移  | ctx: ...天下法若此，则尊卑无别也。 夫世异时移，事业不必同，故曰“俭而难遵”...
[126] 东郭先生  | ctx: ...言也善。“此之谓也。  ## 东郭先生献策  [22] 武帝时，大将...
[047] 丧家之狗  | ctx: ...，然自要以下不及禹三寸。累累若丧家之狗。” 子贡以实告孔子。孔子欣然...
[092] 为德不卒  | ctx: ...长，赐百钱，曰：“公，小人也，为德不卒。” 召辱己之少年令出胯下者以...
[030] 主忧臣辱  | ctx: ...42] 齐相卜式上书曰：“臣闻主忧臣辱。南越反，臣原父子与齐习船者往...
[097] 义不取容  | ctx: ...刻廉刚直，家於长安。行不苟合，义不取容。辟阳侯行不正，得幸吕太后。时...
[117] 乌有先生  | ctx: ...” 子虚”，虚言也，为楚称；“乌有先生” 者，乌有此事也，为齐难；“...
[007] 乘胜逐北  | ctx: ...  [124] 楚起於彭城，常乘胜逐北，与汉战荥阳南京、索间，汉败楚...
