file	line_num	entity	context_before	tag_text	context_after	decision
003_殷本纪.tagged.md	5	唐	〗而敬敷〖^五教〗，〖^五教〗在宽。”封于〖=商〗，赐姓〖&子氏〗。〖@契〗兴於	〖&唐〗	、〖'虞〗、〖@大禹〗之际，功业著於百姓，百姓以平。	dynasty
004_周本纪.tagged.md	250	秦	雒邑〗，辟戎寇。〖@平王〗之时，〖&周〗室衰微，诸侯彊并弱，〖'齐〗、〖&楚〗、	〖&秦〗	、〖&晋〗始大，政由〖;方伯〗。	feudal
004_周本纪.tagged.md	250	楚	东迁于〖=雒邑〗，辟戎寇。〖@平王〗之时，〖&周〗室衰微，诸侯彊并弱，〖'齐〗、	〖&楚〗	、〖&秦〗、〖&晋〗始大，政由〖;方伯〗。	feudal
004_周本纪.tagged.md	250	晋	戎寇。〖@平王〗之时，〖&周〗室衰微，诸侯彊并弱，〖'齐〗、〖&楚〗、〖&秦〗、	〖&晋〗	始大，政由〖;方伯〗。	feudal
004_周本纪.tagged.md	260	燕	〗欲杀〖@庄王〗而立〖@王子克〗。〖@辛伯〗告王，王杀〖@周公〗。〖@王子克〗饹	〖&燕〗	。	feudal
004_周本纪.tagged.md	264	燕	有宠。及〖@惠王〗即位，夺其大臣园以为囿，故〖;大夫〗〖@边伯〗等五人作乱，谋召	〖&燕〗	、〖'卫〗师，伐〖@惠王〗。〖@惠王〗饹〖=温〗，已居〖'郑〗之〖=栎〗。立〖@	feudal
004_周本纪.tagged.md	266	晋	〖@叔带〗饹〖'齐〗。〖@齐桓公〗使〖@管仲〗平戎于〖&周〗，使〖@隰朋〗平戎于	〖&晋〗	。王以〖;上卿〗礼〖@管仲〗。	feudal
004_周本纪.tagged.md	275	晋	，故囚〖@伯服〗。王怒，将以翟伐〖'郑〗。〖@富辰〗谏曰：“凡我〖&周〗之东徙，	〖&晋〗	、〖'郑〗焉依。〖@子穨〗之乱，又〖'郑〗之由定，今以小怨弃之！”王不听。〖%十	feudal
004_周本纪.tagged.md	277	晋	@子带〗立为王，取〖@襄王〗所绌翟后与居〖=温〗。〖%十七年〗，〖@襄王〗告急于	〖&晋〗	，〖@晋文公〗纳王而诛〖@叔带〗。〖@襄王〗乃赐〖@晋文公〗珪鬯〖*弓矢〗，为伯	feudal
004_周本纪.tagged.md	277	晋	而诛〖@叔带〗。〖@襄王〗乃赐〖@晋文公〗珪鬯〖*弓矢〗，为伯，以〖=河内〗地与	〖&晋〗	。〖%二十年〗，〖@晋文公〗召〖@襄王〗，〖@襄王〗会之〖=河阳〗、〖=践土〗，	feudal
